id,Sleep Duration,Dietary Habits,Financial Stress,Family History of Mental Illness
59107,'More than 8 hours',Moderate,2.0,No
59112,'More than 8 hours',Unhealthy,5.0,No
59113,'More than 8 hours',Moderate,2.0,No
59121,'Less than 5 hours',Unhealthy,1.0,Yes
59122,'Less than 5 hours',Healthy,2.0,Yes
59123,'5-6 hours',Unhealthy,3.0,No
59129,'7-8 hours',Unhealthy,1.0,No
59133,'5-6 hours',Healthy,4.0,Yes
59134,'7-8 hours',Unhealthy,5.0,No
59138,'More than 8 hours',Healthy,5.0,Yes
59140,'Less than 5 hours',Moderate,4.0,No
59143,'Less than 5 hours',Moderate,4.0,No
59155,'7-8 hours',Moderate,3.0,No
59159,'7-8 hours',Moderate,2.0,Yes
59161,'More than 8 hours',Unhealthy,5.0,No
59174,'Less than 5 hours',Moderate,2.0,No
59177,'Less than 5 hours',Unhealthy,1.0,Yes
59179,'Less than 5 hours',Moderate,1.0,Yes
59188,'Less than 5 hours',Unhealthy,5.0,Yes
59205,'Less than 5 hours',Moderate,2.0,Yes
59209,'More than 8 hours',Unhealthy,5.0,Yes
59212,'5-6 hours',Moderate,3.0,No
59214,'7-8 hours',Healthy,2.0,No
59221,'5-6 hours',Moderate,5.0,No
59229,'More than 8 hours',Moderate,2.0,No
59230,'More than 8 hours',Moderate,5.0,Yes
59252,'Less than 5 hours',Healthy,4.0,No
59253,'5-6 hours',Unhealthy,4.0,No
59261,'Less than 5 hours',Moderate,5.0,Yes
59262,'5-6 hours',Moderate,3.0,No
59266,'5-6 hours',Healthy,4.0,Yes
59268,'7-8 hours',Moderate,4.0,Yes
59274,'7-8 hours',Unhealthy,4.0,Yes
59283,'Less than 5 hours',Healthy,3.0,No
59293,'Less than 5 hours',Moderate,5.0,No
59294,'More than 8 hours',Moderate,4.0,Yes
59300,'More than 8 hours',Healthy,3.0,No
59301,'5-6 hours',Moderate,2.0,No
59302,'5-6 hours',Unhealthy,5.0,No
59311,'Less than 5 hours',Healthy,5.0,Yes
59315,'5-6 hours',Unhealthy,4.0,No
59350,'More than 8 hours',Others,5.0,Yes
59354,'7-8 hours',Healthy,2.0,No
59359,'7-8 hours',Unhealthy,5.0,No
59368,'Less than 5 hours',Healthy,2.0,No
59373,'More than 8 hours',Healthy,2.0,Yes
59375,'5-6 hours',Moderate,2.0,No
59380,'More than 8 hours',Unhealthy,3.0,Yes
59382,'More than 8 hours',Healthy,5.0,No
59389,'Less than 5 hours',Unhealthy,5.0,No
59395,'Less than 5 hours',Healthy,4.0,No
59408,'Less than 5 hours',Healthy,3.0,No
59414,'7-8 hours',Healthy,1.0,Yes
59430,'7-8 hours',Moderate,3.0,No
59433,'7-8 hours',Unhealthy,4.0,No
59436,'5-6 hours',Healthy,1.0,No
59447,'More than 8 hours',Unhealthy,4.0,No
59452,'More than 8 hours',Healthy,3.0,No
59459,'7-8 hours',Unhealthy,3.0,No
59461,'7-8 hours',Unhealthy,2.0,No
59462,'7-8 hours',Moderate,2.0,Yes
59478,'7-8 hours',Healthy,5.0,Yes
59479,'Less than 5 hours',Moderate,3.0,Yes
59482,'5-6 hours',Unhealthy,3.0,No
59487,'Less than 5 hours',Healthy,2.0,Yes
59489,'More than 8 hours',Unhealthy,5.0,No
59491,'More than 8 hours',Unhealthy,3.0,Yes
59492,'Less than 5 hours',Unhealthy,4.0,Yes
59494,'More than 8 hours',Moderate,3.0,No
59499,'Less than 5 hours',Unhealthy,3.0,Yes
59502,'7-8 hours',Unhealthy,3.0,Yes
59511,'5-6 hours',Unhealthy,2.0,No
59514,'More than 8 hours',Unhealthy,4.0,No
59515,'Less than 5 hours',Moderate,5.0,Yes
59516,'5-6 hours',Healthy,1.0,Yes
59517,'5-6 hours',Healthy,4.0,Yes
59519,'5-6 hours',Unhealthy,5.0,No
59523,'Less than 5 hours',Unhealthy,2.0,No
59533,'Less than 5 hours',Unhealthy,1.0,Yes
59536,'Less than 5 hours',Healthy,5.0,No
59541,'Less than 5 hours',Moderate,2.0,No
59546,'7-8 hours',Unhealthy,1.0,No
59553,'More than 8 hours',Moderate,1.0,No
59555,'Less than 5 hours',Moderate,5.0,Yes
59556,'Less than 5 hours',Moderate,4.0,Yes
59564,'7-8 hours',Healthy,4.0,No
59570,'7-8 hours',Healthy,3.0,No
59575,'Less than 5 hours',Unhealthy,5.0,Yes
59580,'5-6 hours',Unhealthy,4.0,Yes
59581,'More than 8 hours',Unhealthy,2.0,No
59585,'7-8 hours',Unhealthy,4.0,Yes
59586,'5-6 hours',Moderate,4.0,No
59587,'7-8 hours',Healthy,2.0,Yes
59597,'More than 8 hours',Moderate,2.0,No
59598,'More than 8 hours',Healthy,1.0,No
59600,'5-6 hours',Healthy,4.0,Yes
59605,'Less than 5 hours',Unhealthy,2.0,Yes
59612,'7-8 hours',Healthy,1.0,No
59622,'7-8 hours',Moderate,3.0,Yes
59623,'More than 8 hours',Moderate,2.0,No
59628,'More than 8 hours',Unhealthy,1.0,No
59633,'5-6 hours',Unhealthy,2.0,No
59641,'5-6 hours',Healthy,5.0,No
59642,'More than 8 hours',Unhealthy,4.0,No
59643,'Less than 5 hours',Healthy,2.0,Yes
59647,'5-6 hours',Moderate,5.0,Yes
59652,'7-8 hours',Moderate,3.0,Yes
59653,'7-8 hours',Moderate,5.0,Yes
59654,'7-8 hours',Healthy,3.0,Yes
59655,'7-8 hours',Unhealthy,3.0,Yes
59657,'Less than 5 hours',Unhealthy,5.0,No
59659,'5-6 hours',Unhealthy,5.0,Yes
59661,'7-8 hours',Healthy,1.0,Yes
59670,'7-8 hours',Unhealthy,1.0,Yes
59671,'More than 8 hours',Unhealthy,5.0,No
59678,'Less than 5 hours',Unhealthy,5.0,Yes
59679,'5-6 hours',Moderate,5.0,No
59681,'Less than 5 hours',Unhealthy,3.0,No
59682,'More than 8 hours',Unhealthy,3.0,Yes
59687,'7-8 hours',Moderate,2.0,Yes
59693,'7-8 hours',Unhealthy,1.0,Yes
59695,'Less than 5 hours',Healthy,4.0,Yes
59696,'7-8 hours',Unhealthy,4.0,Yes
59698,'5-6 hours',Healthy,4.0,Yes
59704,'Less than 5 hours',Unhealthy,3.0,No
59715,'7-8 hours',Moderate,5.0,Yes
59718,'7-8 hours',Unhealthy,2.0,No
59719,'Less than 5 hours',Unhealthy,5.0,No
59721,'More than 8 hours',Healthy,3.0,No
59722,'5-6 hours',Healthy,2.0,Yes
59723,'7-8 hours',Moderate,4.0,No
59729,'More than 8 hours',Moderate,3.0,No
59731,'5-6 hours',Unhealthy,4.0,No
59743,'Less than 5 hours',Unhealthy,5.0,Yes
59744,'More than 8 hours',Unhealthy,1.0,No
59748,'7-8 hours',Moderate,1.0,No
59753,'Less than 5 hours',Moderate,3.0,No
59754,'5-6 hours',Moderate,5.0,No
59757,'7-8 hours',Healthy,1.0,Yes
59765,'5-6 hours',Unhealthy,2.0,Yes
59767,'Less than 5 hours',Healthy,5.0,Yes
59771,'7-8 hours',Healthy,5.0,No
59773,'Less than 5 hours',Healthy,3.0,No
59781,'7-8 hours',Moderate,2.0,No
59799,'More than 8 hours',Moderate,5.0,Yes
59805,'5-6 hours',Moderate,1.0,Yes
59810,'More than 8 hours',Moderate,2.0,Yes
59813,'More than 8 hours',Healthy,3.0,Yes
59816,'5-6 hours',Healthy,3.0,Yes
59819,'5-6 hours',Unhealthy,4.0,No
59828,'Less than 5 hours',Healthy,3.0,Yes
59830,'7-8 hours',Healthy,5.0,Yes
59845,'7-8 hours',Unhealthy,5.0,Yes
59856,'5-6 hours',Unhealthy,2.0,No
59865,'More than 8 hours',Unhealthy,5.0,No
59867,'Less than 5 hours',Moderate,2.0,No
59877,'More than 8 hours',Moderate,2.0,No
59879,'More than 8 hours',Unhealthy,4.0,No
59883,'Less than 5 hours',Unhealthy,5.0,Yes
59886,'7-8 hours',Moderate,2.0,No
59892,'Less than 5 hours',Healthy,5.0,No
59896,'Less than 5 hours',Healthy,3.0,No
59912,'More than 8 hours',Healthy,2.0,Yes
59915,'Less than 5 hours',Unhealthy,4.0,Yes
59918,'5-6 hours',Moderate,2.0,No
59924,'7-8 hours',Unhealthy,5.0,No
59928,'7-8 hours',Healthy,4.0,No
59929,'7-8 hours',Unhealthy,3.0,Yes
59931,'7-8 hours',Healthy,4.0,Yes
59937,'7-8 hours',Healthy,5.0,Yes
59939,'Less than 5 hours',Moderate,2.0,No
59946,'5-6 hours',Healthy,3.0,No
59956,'More than 8 hours',Healthy,2.0,No
59965,'5-6 hours',Moderate,4.0,No
59970,'7-8 hours',Unhealthy,5.0,No
59973,'Less than 5 hours',Unhealthy,2.0,No
59974,'7-8 hours',Healthy,5.0,No
59980,'More than 8 hours',Unhealthy,4.0,Yes
59983,'5-6 hours',Moderate,2.0,No
59986,'7-8 hours',Moderate,1.0,No
59990,'7-8 hours',Unhealthy,5.0,No
59993,'7-8 hours',Healthy,4.0,No
59998,'Less than 5 hours',Unhealthy,2.0,Yes
59999,'5-6 hours',Moderate,1.0,No
60007,'More than 8 hours',Moderate,3.0,No
60008,'5-6 hours',Healthy,1.0,No
60012,'More than 8 hours',Moderate,4.0,Yes
60013,'5-6 hours',Healthy,4.0,No
60015,'More than 8 hours',Healthy,3.0,No
60034,'7-8 hours',Unhealthy,3.0,Yes
60037,'More than 8 hours',Moderate,3.0,No
60038,'5-6 hours',Moderate,5.0,Yes
60039,'Less than 5 hours',Moderate,5.0,Yes
60040,'5-6 hours',Moderate,5.0,No
60047,'7-8 hours',Moderate,1.0,Yes
60049,'More than 8 hours',Moderate,4.0,No
60050,'5-6 hours',Moderate,5.0,Yes
60051,'More than 8 hours',Moderate,1.0,Yes
60072,'7-8 hours',Moderate,4.0,No
60087,'Less than 5 hours',Healthy,2.0,Yes
60089,'7-8 hours',Healthy,4.0,No
60095,'7-8 hours',Healthy,5.0,Yes
60112,'7-8 hours',Unhealthy,4.0,No
60118,'More than 8 hours',Moderate,3.0,No
60119,'Less than 5 hours',Moderate,3.0,Yes
60123,'Less than 5 hours',Unhealthy,3.0,No
60125,'More than 8 hours',Moderate,4.0,Yes
60139,'5-6 hours',Healthy,5.0,Yes
60140,'More than 8 hours',Unhealthy,3.0,No
60144,'Less than 5 hours',Moderate,3.0,Yes
60147,'Less than 5 hours',Unhealthy,3.0,Yes
60148,'7-8 hours',Moderate,4.0,No
60149,'More than 8 hours',Healthy,3.0,No
60165,'7-8 hours',Moderate,1.0,No
60167,'5-6 hours',Unhealthy,4.0,Yes
60188,'5-6 hours',Unhealthy,4.0,No
60193,'7-8 hours',Healthy,3.0,No
60204,'7-8 hours',Moderate,3.0,No
60205,'5-6 hours',Healthy,3.0,No
60208,'Less than 5 hours',Healthy,4.0,No
60212,'Less than 5 hours',Moderate,1.0,No
60218,'5-6 hours',Moderate,2.0,No
60220,'Less than 5 hours',Unhealthy,5.0,No
60222,'Less than 5 hours',Moderate,4.0,No
60227,'5-6 hours',Healthy,1.0,No
60231,'More than 8 hours',Moderate,4.0,Yes
60234,'Less than 5 hours',Unhealthy,5.0,Yes
60241,'More than 8 hours',Moderate,5.0,Yes
60242,'7-8 hours',Unhealthy,3.0,No
60244,'Less than 5 hours',Unhealthy,4.0,Yes
60250,'5-6 hours',Moderate,2.0,No
60257,'More than 8 hours',Moderate,5.0,No
60261,'5-6 hours',Unhealthy,4.0,No
60274,'7-8 hours',Unhealthy,1.0,Yes
60279,'More than 8 hours',Unhealthy,4.0,Yes
60284,'5-6 hours',Unhealthy,2.0,No
60294,'Less than 5 hours',Unhealthy,4.0,Yes
60298,'7-8 hours',Healthy,4.0,No
60308,'More than 8 hours',Unhealthy,5.0,No
60311,'More than 8 hours',Unhealthy,5.0,Yes
60313,'7-8 hours',Unhealthy,4.0,Yes
60324,'7-8 hours',Healthy,1.0,No
60328,'7-8 hours',Unhealthy,5.0,No
60333,'More than 8 hours',Moderate,4.0,No
60339,'5-6 hours',Healthy,5.0,No
60343,'5-6 hours',Unhealthy,2.0,Yes
60352,'More than 8 hours',Moderate,1.0,Yes
60358,'More than 8 hours',Healthy,3.0,No
60359,'7-8 hours',Moderate,1.0,Yes
60370,'7-8 hours',Healthy,5.0,Yes
60376,'7-8 hours',Moderate,5.0,No
60379,'More than 8 hours',Unhealthy,5.0,Yes
60381,'5-6 hours',Healthy,1.0,Yes
60382,'7-8 hours',Unhealthy,5.0,Yes
60387,'7-8 hours',Unhealthy,1.0,No
60389,'Less than 5 hours',Unhealthy,1.0,Yes
60391,'More than 8 hours',Healthy,4.0,No
60403,'Less than 5 hours',Unhealthy,3.0,No
60410,'Less than 5 hours',Healthy,4.0,Yes
60413,'5-6 hours',Moderate,4.0,Yes
60414,'Less than 5 hours',Moderate,2.0,No
60415,'7-8 hours',Moderate,4.0,Yes
60417,'Less than 5 hours',Unhealthy,5.0,Yes
60425,'7-8 hours',Unhealthy,4.0,Yes
60427,'5-6 hours',Unhealthy,5.0,Yes
60433,'7-8 hours',Moderate,4.0,Yes
60437,'Less than 5 hours',Moderate,5.0,Yes
60439,'Less than 5 hours',Unhealthy,4.0,No
60441,'Less than 5 hours',Moderate,2.0,No
60442,'5-6 hours',Unhealthy,4.0,Yes
60443,'7-8 hours',Unhealthy,4.0,Yes
60451,'7-8 hours',Unhealthy,5.0,Yes
60452,'Less than 5 hours',Moderate,1.0,No
60453,'Less than 5 hours',Moderate,1.0,No
60454,'5-6 hours',Unhealthy,5.0,Yes
60464,'5-6 hours',Unhealthy,5.0,Yes
60466,'Less than 5 hours',Healthy,5.0,No
60470,'Less than 5 hours',Moderate,5.0,Yes
60478,'Less than 5 hours',Moderate,1.0,Yes
60481,'More than 8 hours',Moderate,4.0,No
60484,'7-8 hours',Unhealthy,2.0,Yes
60498,'5-6 hours',Moderate,4.0,Yes
60501,'7-8 hours',Moderate,2.0,No
60502,'More than 8 hours',Unhealthy,3.0,Yes
60503,'5-6 hours',Unhealthy,4.0,Yes
60504,'7-8 hours',Moderate,2.0,Yes
60517,'7-8 hours',Moderate,3.0,Yes
60519,'5-6 hours',Unhealthy,3.0,No
60520,'Less than 5 hours',Moderate,1.0,No
60534,'More than 8 hours',Moderate,5.0,No
60535,'Less than 5 hours',Moderate,1.0,No
60548,'Less than 5 hours',Healthy,4.0,No
60554,'5-6 hours',Healthy,1.0,No
60561,'7-8 hours',Unhealthy,3.0,No
60565,'5-6 hours',Unhealthy,5.0,Yes
60570,'Less than 5 hours',Moderate,1.0,Yes
60572,'More than 8 hours',Moderate,4.0,Yes
60575,'Less than 5 hours',Moderate,5.0,No
60580,'Less than 5 hours',Healthy,5.0,No
60585,'Less than 5 hours',Moderate,1.0,No
60591,'5-6 hours',Healthy,1.0,No
60596,'Less than 5 hours',Healthy,4.0,Yes
60602,'7-8 hours',Moderate,3.0,No
60605,'7-8 hours',Healthy,2.0,No
60606,'Less than 5 hours',Moderate,1.0,No
60608,'5-6 hours',Moderate,1.0,Yes
60616,'7-8 hours',Healthy,5.0,Yes
60621,'More than 8 hours',Healthy,2.0,Yes
60625,'7-8 hours',Moderate,4.0,No
60627,'5-6 hours',Moderate,3.0,No
60635,'Less than 5 hours',Unhealthy,5.0,Yes
60636,'Less than 5 hours',Moderate,2.0,No
60640,'5-6 hours',Moderate,3.0,No
60642,'More than 8 hours',Moderate,5.0,No
60655,'7-8 hours',Healthy,5.0,Yes
60656,'5-6 hours',Unhealthy,3.0,No
60657,'More than 8 hours',Moderate,3.0,Yes
60661,'5-6 hours',Unhealthy,3.0,Yes
60662,'More than 8 hours',Moderate,3.0,Yes
60664,'5-6 hours',Moderate,2.0,No
60666,'5-6 hours',Healthy,1.0,Yes
60673,'Less than 5 hours',Unhealthy,3.0,Yes
60676,'More than 8 hours',Moderate,3.0,Yes
60684,'7-8 hours',Healthy,1.0,Yes
60695,'7-8 hours',Moderate,5.0,Yes
60709,'Less than 5 hours',Healthy,4.0,No
60715,'More than 8 hours',Moderate,3.0,No
60720,'7-8 hours',Unhealthy,2.0,Yes
60723,'Less than 5 hours',Moderate,3.0,Yes
60732,'Less than 5 hours',Unhealthy,4.0,Yes
60734,'More than 8 hours',Healthy,3.0,No
60747,'7-8 hours',Moderate,2.0,Yes
60749,'More than 8 hours',Unhealthy,5.0,No
60769,'More than 8 hours',Moderate,1.0,Yes
60776,'5-6 hours',Unhealthy,1.0,No
60778,'More than 8 hours',Unhealthy,4.0,No
60779,'7-8 hours',Moderate,1.0,Yes
60796,'5-6 hours',Moderate,3.0,No
60801,'7-8 hours',Unhealthy,2.0,No
60817,'5-6 hours',Unhealthy,5.0,Yes
60818,'Less than 5 hours',Moderate,5.0,No
60825,'More than 8 hours',Unhealthy,5.0,No
60833,'5-6 hours',Healthy,3.0,No
60837,'Less than 5 hours',Moderate,1.0,Yes
60838,'7-8 hours',Healthy,3.0,No
60843,'7-8 hours',Unhealthy,2.0,Yes
60851,'Less than 5 hours',Unhealthy,5.0,No
60852,'More than 8 hours',Unhealthy,1.0,Yes
60854,'Less than 5 hours',Moderate,4.0,Yes
60860,'7-8 hours',Unhealthy,3.0,Yes
60862,'7-8 hours',Moderate,1.0,Yes
60868,'5-6 hours',Healthy,4.0,Yes
60869,'7-8 hours',Unhealthy,5.0,No
60870,'7-8 hours',Unhealthy,4.0,No
60878,'Less than 5 hours',Moderate,3.0,No
60881,'7-8 hours',Unhealthy,5.0,Yes
60893,'5-6 hours',Moderate,4.0,Yes
60894,'7-8 hours',Unhealthy,2.0,No
60898,'More than 8 hours',Healthy,4.0,Yes
60902,'More than 8 hours',Moderate,5.0,No
60904,'More than 8 hours',Unhealthy,5.0,Yes
60910,'5-6 hours',Moderate,1.0,No
60920,'7-8 hours',Moderate,5.0,No
60924,'7-8 hours',Unhealthy,5.0,No
60925,'7-8 hours',Healthy,4.0,No
60928,'More than 8 hours',Healthy,3.0,No
60933,'5-6 hours',Unhealthy,4.0,No
60935,'Less than 5 hours',Moderate,1.0,No
60944,'5-6 hours',Unhealthy,5.0,Yes
60949,'7-8 hours',Moderate,5.0,No
60952,'Less than 5 hours',Healthy,2.0,Yes
60955,'More than 8 hours',Moderate,4.0,No
60958,'7-8 hours',Moderate,1.0,Yes
60984,'Less than 5 hours',Healthy,5.0,No
60987,'Less than 5 hours',Unhealthy,4.0,Yes
60991,'More than 8 hours',Moderate,5.0,No
60992,'7-8 hours',Unhealthy,5.0,No
60994,'7-8 hours',Unhealthy,4.0,No
60995,'More than 8 hours',Healthy,3.0,No
60999,'7-8 hours',Moderate,3.0,No
61003,'7-8 hours',Moderate,2.0,No
61005,'7-8 hours',Moderate,2.0,No
61015,'More than 8 hours',Unhealthy,3.0,No
61024,'More than 8 hours',Moderate,4.0,No
61034,'More than 8 hours',Moderate,5.0,Yes
61036,'7-8 hours',Healthy,5.0,Yes
61044,'7-8 hours',Unhealthy,1.0,Yes
61045,'More than 8 hours',Healthy,1.0,No
61047,'Less than 5 hours',Healthy,3.0,No
61053,'5-6 hours',Healthy,4.0,Yes
61054,'Less than 5 hours',Unhealthy,5.0,Yes
61061,'5-6 hours',Moderate,3.0,No
61067,'5-6 hours',Unhealthy,4.0,No
61071,'Less than 5 hours',Moderate,5.0,No
61074,'Less than 5 hours',Healthy,5.0,No
61087,'Less than 5 hours',Healthy,4.0,No
61094,'Less than 5 hours',Unhealthy,4.0,No
61095,'Less than 5 hours',Unhealthy,5.0,No
61097,'More than 8 hours',Moderate,2.0,No
61102,'Less than 5 hours',Healthy,1.0,Yes
61121,'7-8 hours',Moderate,5.0,Yes
61128,'Less than 5 hours',Unhealthy,4.0,No
61130,'Less than 5 hours',Moderate,3.0,Yes
61132,'More than 8 hours',Healthy,2.0,Yes
61140,'More than 8 hours',Moderate,1.0,Yes
61142,'7-8 hours',Moderate,5.0,No
61144,'5-6 hours',Healthy,2.0,Yes
61146,'Less than 5 hours',Healthy,1.0,No
61160,'7-8 hours',Moderate,4.0,Yes
61161,'7-8 hours',Healthy,1.0,Yes
61163,'7-8 hours',Healthy,5.0,Yes
61167,'More than 8 hours',Moderate,3.0,Yes
61183,'7-8 hours',Unhealthy,4.0,Yes
61187,'Less than 5 hours',Moderate,1.0,Yes
61192,'7-8 hours',Healthy,5.0,No
61203,'More than 8 hours',Moderate,4.0,Yes
61204,'Less than 5 hours',Unhealthy,4.0,No
61207,'5-6 hours',Healthy,3.0,No
61216,'Less than 5 hours',Healthy,1.0,Yes
61219,'7-8 hours',Healthy,3.0,No
61226,'Less than 5 hours',Unhealthy,5.0,Yes
61229,'More than 8 hours',Moderate,2.0,Yes
61235,'Less than 5 hours',Healthy,1.0,Yes
61241,'More than 8 hours',Unhealthy,4.0,Yes
61242,'5-6 hours',Moderate,2.0,Yes
61245,'Less than 5 hours',Healthy,3.0,No
61253,'More than 8 hours',Unhealthy,2.0,No
61254,'7-8 hours',Unhealthy,5.0,No
61255,'More than 8 hours',Unhealthy,4.0,No
61257,'5-6 hours',Healthy,1.0,No
61260,'7-8 hours',Unhealthy,2.0,No
61268,'Less than 5 hours',Moderate,4.0,Yes
61271,'Less than 5 hours',Unhealthy,5.0,No
61278,'Less than 5 hours',Healthy,1.0,No
61279,'More than 8 hours',Unhealthy,2.0,No
61281,'More than 8 hours',Moderate,4.0,No
61284,'More than 8 hours',Moderate,1.0,No
61292,'More than 8 hours',Unhealthy,3.0,No
61312,'Less than 5 hours',Unhealthy,1.0,Yes
61317,'Less than 5 hours',Healthy,3.0,No
61331,'Less than 5 hours',Healthy,1.0,Yes
61341,'5-6 hours',Moderate,5.0,Yes
61343,'5-6 hours',Unhealthy,5.0,Yes
61346,'5-6 hours',Unhealthy,2.0,Yes
61358,'7-8 hours',Unhealthy,2.0,Yes
61362,'5-6 hours',Moderate,5.0,Yes
61376,'Less than 5 hours',Moderate,5.0,Yes
61381,'Less than 5 hours',Unhealthy,3.0,No
61382,'7-8 hours',Moderate,1.0,Yes
61385,'7-8 hours',Unhealthy,2.0,No
61391,'Less than 5 hours',Healthy,1.0,No
61396,'7-8 hours',Unhealthy,3.0,Yes
61401,'7-8 hours',Moderate,5.0,No
61405,'More than 8 hours',Healthy,1.0,No
61411,'7-8 hours',Moderate,4.0,No
61423,'Less than 5 hours',Healthy,1.0,Yes
61443,'More than 8 hours',Unhealthy,2.0,No
61444,'7-8 hours',Moderate,2.0,Yes
61446,'7-8 hours',Unhealthy,5.0,Yes
61452,'More than 8 hours',Moderate,3.0,Yes
61458,'Less than 5 hours',Unhealthy,1.0,No
61464,'5-6 hours',Unhealthy,5.0,Yes
61468,'Less than 5 hours',Healthy,2.0,No
61472,'5-6 hours',Moderate,1.0,No
61473,'Less than 5 hours',Moderate,5.0,No
61474,'More than 8 hours',Moderate,4.0,No
61475,'More than 8 hours',Moderate,3.0,Yes
61477,'5-6 hours',Moderate,4.0,No
61480,'7-8 hours',Unhealthy,1.0,Yes
61486,'5-6 hours',Healthy,3.0,Yes
61491,'5-6 hours',Unhealthy,4.0,No
61498,'Less than 5 hours',Unhealthy,5.0,Yes
61504,'7-8 hours',Unhealthy,4.0,Yes
61513,'7-8 hours',Moderate,4.0,Yes
61526,'7-8 hours',Unhealthy,2.0,Yes
61530,'Less than 5 hours',Healthy,4.0,Yes
61533,'Less than 5 hours',Unhealthy,3.0,Yes
61543,'Less than 5 hours',Moderate,1.0,Yes
61548,'7-8 hours',Healthy,4.0,Yes
61554,'7-8 hours',Moderate,3.0,Yes
61556,'5-6 hours',Healthy,5.0,Yes
61557,'Less than 5 hours',Moderate,5.0,No
61560,'5-6 hours',Unhealthy,5.0,Yes
61566,'Less than 5 hours',Unhealthy,1.0,No
61579,'Less than 5 hours',Unhealthy,4.0,No
61580,'7-8 hours',Unhealthy,5.0,No
61584,'5-6 hours',Healthy,4.0,Yes
61592,'Less than 5 hours',Moderate,1.0,No
61601,'5-6 hours',Moderate,5.0,Yes
61603,'Less than 5 hours',Healthy,1.0,No
61606,'7-8 hours',Unhealthy,3.0,No
61611,'7-8 hours',Moderate,5.0,Yes
61612,'7-8 hours',Unhealthy,5.0,Yes
61616,'More than 8 hours',Unhealthy,2.0,Yes
61620,'Less than 5 hours',Unhealthy,5.0,No
61621,'5-6 hours',Unhealthy,2.0,Yes
61623,'Less than 5 hours',Moderate,5.0,No
61629,'5-6 hours',Unhealthy,1.0,No
61630,'More than 8 hours',Moderate,5.0,Yes
61633,'7-8 hours',Healthy,5.0,No
61640,'7-8 hours',Moderate,1.0,Yes
61643,'5-6 hours',Unhealthy,4.0,No
61645,'5-6 hours',Healthy,5.0,Yes
61649,'5-6 hours',Moderate,4.0,No
61658,'5-6 hours',Healthy,4.0,Yes
61659,'5-6 hours',Healthy,5.0,No
61660,'5-6 hours',Moderate,3.0,Yes
61666,'Less than 5 hours',Moderate,2.0,No
61670,'Less than 5 hours',Moderate,2.0,Yes
61671,'Less than 5 hours',Healthy,3.0,Yes
61682,'7-8 hours',Healthy,5.0,No
61686,'More than 8 hours',Healthy,5.0,Yes
61688,'Less than 5 hours',Moderate,5.0,No
61697,'7-8 hours',Moderate,2.0,No
61729,'Less than 5 hours',Unhealthy,5.0,Yes
61731,'5-6 hours',Moderate,3.0,Yes
61739,'7-8 hours',Moderate,1.0,Yes
61742,'5-6 hours',Healthy,2.0,Yes
61746,'5-6 hours',Moderate,4.0,No
61748,'More than 8 hours',Unhealthy,5.0,No
61751,'Less than 5 hours',Unhealthy,2.0,Yes
61755,'More than 8 hours',Unhealthy,1.0,No
61756,'7-8 hours',Healthy,1.0,No
61766,'5-6 hours',Healthy,5.0,Yes
61773,'7-8 hours',Moderate,1.0,No
61779,'More than 8 hours',Moderate,5.0,No
61783,'5-6 hours',Unhealthy,3.0,No
61787,'5-6 hours',Moderate,4.0,Yes
61792,'More than 8 hours',Unhealthy,5.0,Yes
61824,'Less than 5 hours',Unhealthy,1.0,No
61825,'More than 8 hours',Healthy,5.0,Yes
61826,'5-6 hours',Unhealthy,1.0,No
61829,'7-8 hours',Moderate,1.0,Yes
61833,'5-6 hours',Healthy,4.0,Yes
61838,'7-8 hours',Unhealthy,4.0,Yes
61854,'7-8 hours',Unhealthy,1.0,Yes
61855,'More than 8 hours',Moderate,1.0,No
61857,'Less than 5 hours',Moderate,2.0,Yes
61861,'Less than 5 hours',Unhealthy,1.0,Yes
61871,'7-8 hours',Unhealthy,2.0,Yes
61874,'7-8 hours',Healthy,3.0,Yes
61877,'7-8 hours',Moderate,4.0,No
61879,'Less than 5 hours',Healthy,1.0,Yes
61881,'Less than 5 hours',Unhealthy,5.0,No
61885,'Less than 5 hours',Moderate,4.0,Yes
61888,'Less than 5 hours',Healthy,1.0,No
61896,'More than 8 hours',Healthy,2.0,No
61903,'7-8 hours',Healthy,4.0,No
61906,'Less than 5 hours',Moderate,5.0,Yes
61912,'More than 8 hours',Healthy,5.0,No
61921,'Less than 5 hours',Unhealthy,5.0,Yes
61927,'Less than 5 hours',Unhealthy,4.0,No
61929,'Less than 5 hours',Healthy,2.0,No
61930,'Less than 5 hours',Moderate,1.0,No
61931,'More than 8 hours',Healthy,1.0,No
61943,'More than 8 hours',Moderate,3.0,No
61945,'More than 8 hours',Healthy,2.0,Yes
61954,'5-6 hours',Unhealthy,1.0,No
61966,'7-8 hours',Healthy,5.0,Yes
61983,'5-6 hours',Healthy,5.0,Yes
61985,'5-6 hours',Unhealthy,3.0,No
61994,'Less than 5 hours',Unhealthy,5.0,No
62001,'5-6 hours',Moderate,2.0,No
62002,'Less than 5 hours',Unhealthy,1.0,No
62004,'Less than 5 hours',Unhealthy,4.0,Yes
62007,'Less than 5 hours',Healthy,5.0,No
62008,'Less than 5 hours',Moderate,2.0,No
62023,'More than 8 hours',Unhealthy,5.0,Yes
62033,'5-6 hours',Moderate,3.0,No
62038,'7-8 hours',Healthy,3.0,Yes
62046,'Less than 5 hours',Unhealthy,5.0,Yes
